"","Original","Outcome","ES","TH","RRH","Prev","PrevEligible"
"1838","ES",0,0.591128067661055,0.510898258336344,0.520574221512633,0.456794464172337,1
"1839","ES",0,0.436942855218078,0.447767806860927,0.379706201545474,0.341766653650077,1
"1840","TH",0,0.396264629616767,0.293272496107842,0.3971455237558,NA,0
"1841","ES",1,0.593611414086805,0.507875953078321,0.544219978764218,0.482490856033249,1
"1842","Prev",0,0.159287740466161,0.156112530073109,0.161484783403682,0.0980247404413424,1
"1843","ES",0,0.29444430337012,0.253167652821619,0.270793541164142,NA,0
"1844","RRH",0,0.370913019831336,0.373418763801948,0.432382745817207,NA,0
"1845","ES",0,0.676268295206681,0.544230232597849,0.649666350303459,NA,0
"1846","Prev",0,0.297492547685127,0.312485147277642,0.252886013621775,0.190095575433289,1
"1847","ES",1,0.536975048957179,0.451498275910589,0.467426081635416,0.479239829497373,1
"1848","ES",0,0.620131772494218,0.560887800908042,0.594172631503336,0.510137581860795,1
"1849","TH",0,0.687472258583911,0.694386742858243,0.664948843092615,0.600936476399654,1
"1850","Prev",0,0.289494739484922,0.303425705696208,0.281788493530241,NA,0
"1851","TH",0,0.525813348252289,0.440097623488477,0.455600105314651,NA,0
"1852","ES",1,0.509373146934617,0.44883790789493,0.553113844913892,NA,0
"1853","RRH",1,0.322003215275016,0.249812468266671,0.357254124352454,NA,0
"1854","Prev",0,0.156036606362985,0.141329830259366,0.175197945375771,0.0994885415486153,1
"1855","Prev",0,0.301229061268659,0.224629043932134,0.243165436967524,0.16065872984034,1
"1856","Prev",0,0.124382057603142,0.131143873577387,0.151742601677035,0.0661939042437404,1
"1857","ES",0,0.385231869344314,0.343799999668268,0.349100223635633,NA,0
"1858","Prev",1,0.273273148793382,0.242771931257844,0.241984906683624,0.173096431692868,1
"1859","TH",0,0.523859281333697,0.470492720678016,0.513399142422792,NA,0
"1860","TH",1,0.539587996388394,0.449169688691471,0.505447293256978,NA,0
"1861","ES",0,0.64136873830812,0.566551750753574,0.693873751400152,NA,0
"1862","ES",0,0.448297596722877,0.379193098831339,0.488520965458212,0.325751957914203,1
"1863","Prev",0,0.116432227140416,0.140344482678736,0.104805917802527,0.061999507626329,1
"1864","ES",1,0.563588516715457,0.490833018234891,0.459427111836791,0.404262987452153,1
"1865","Prev",0,0.293229074838773,0.264272143680478,0.266696751161409,0.193370865931746,1
"1866","ES",0,0.38445704572247,0.306352673592135,0.337338109344306,0.237501700858491,1
"1867","Prev",1,0.528196187159563,0.567843703316428,0.532596424343564,0.448407780142374,1
"1868","Prev",0,0.296120289648822,0.285182019755411,0.278882626908164,0.184181218680204,1
"1869","Prev",0,0.277312685004009,0.199764479707124,0.256382408882227,0.182002248668907,1
"1870","TH",1,0.450774343814799,0.367490032140465,0.44117479673926,0.324617322764677,1
"1871","Prev",0,0.199786478315302,0.193095697081947,0.163072625748434,0.131571351126754,1
"1872","ES",1,0.350996260477498,0.344045844764134,0.327039420759962,0.259756356842123,1
"1873","ES",0,0.516427028358828,0.431542526768029,0.444197116794317,NA,0
"1874","ES",1,0.701209857690199,0.676653516501052,0.705592036894481,NA,0
"1875","Prev",0,0.190559806903898,0.252338828554533,0.171976257504519,0.104127087409825,1
"1876","ES",0,0.755098563975762,0.74554414517318,0.745422420918748,NA,0
"1877","Prev",1,0.432470291542994,0.402663934191518,0.387597396955631,0.305614554466779,1
"1878","Prev",1,0.222521418898072,0.152904648602749,0.175558474336721,0.122282738545987,1
"1879","ES",1,0.669747289929284,0.651003425747077,0.675270307139611,0.589433542629232,1
"1880","TH",1,0.624086943572873,0.503361814647523,0.553690221483195,0.475038772357729,1
"1881","ES",0,0.328515799372419,0.283200709522314,0.302814575093,0.221336846652583,1
"1882","Prev",1,0.348945853412126,0.382162467434534,0.330219678386082,NA,0
"1883","TH",1,0.805435169654238,0.759982189827416,0.792781610787795,NA,0
"1884","TH",1,0.639706278402518,0.577869225029191,0.578145358632283,NA,0
"1885","Prev",0,0.108191129464655,0.107012063320348,0.108254479086617,0.0651866154717434,1
"1886","Prev",0,0.267250836590659,0.263839090596075,0.257524555072054,0.154754734384759,1
"1887","ES",1,0.56662899787143,0.561092652931098,0.496640234998997,0.509816067471703,1
"1888","TH",0,0.281908330303269,0.22401391862346,0.257087876705269,NA,0
"1889","Prev",0,0.33077756443926,0.318839902039843,0.291720884847311,0.2463523320795,1
"1890","Prev",1,0.364772449618548,0.348115013187678,0.319134870720405,0.263741278058377,1
"1891","ES",1,0.692568900281724,0.644672647305311,0.665889719968501,0.588996440806772,1
"1892","ES",0,0.777361210233303,0.754373424295474,0.75371821037018,0.716867218853148,1
"1893","Prev",0,0.202746367538342,0.202160674387881,0.201728009101585,0.12067490778172,1
"1894","TH",0,0.360384053194583,0.362938631490646,0.368267005712637,NA,0
"1895","Prev",0,0.241413823392114,0.250739026164554,0.237753050564223,0.160272486808067,1
"1896","Prev",1,0.134435230686323,0.133201057034278,0.118213331919313,0.0884031436666747,1
"1897","TH",0,0.350334945390404,0.31381109447909,0.313621192484716,NA,0
"1898","TH",0,0.553859888886673,0.462235973398897,0.518783788996145,NA,0
"1899","Prev",0,0.133299322776711,0.159350288609202,0.138114500153516,0.0905427809064123,1
"1900","Prev",1,0.113793631196258,0.120930568538108,0.0997135970617329,0.060846078614629,1
"1901","Prev",0,0.251423318724263,0.242468418083142,0.232441907573863,0.176369454776358,1
"1902","Prev",1,0.264974279801917,0.212760078287406,0.220790005285364,0.146096947332737,1
"1903","Prev",0,0.0721041568811946,0.0748610138587764,0.0595649105759289,0.0339503254556958,1
"1904","Prev",0,0.208685721230728,0.187512323864766,0.180084294971859,0.183777092598385,1
"1905","Prev",0,0.193611726999833,0.178295486950952,0.236469305828338,0.127891893299447,1
"1906","TH",1,0.318150970714566,0.248642618952304,0.278611352486273,NA,0
"1907","TH",1,0.442366177933389,0.401809514181522,0.421677252919334,NA,0
"1908","Prev",0,0.512171733126129,0.39846240145411,0.446003328664345,NA,0
"1909","Prev",0,0.112101431785718,0.107162561611696,0.127770544436992,0.061054522336445,1
"1910","ES",0,0.482726626111815,0.425286037010159,0.461160330500303,0.338586654626807,1
